old_slug,new_slug,note
2023-research-app-1,2023-research-app-1-1,부록1 개요 문서의 표가 [부록 1-1] 본문이라 제목을 표 앞으로 이동
2023-hr-app-3,2023-hr-app-3-1 / 2023-hr-app-3-2 / 2023-hr-app-3-3,부록3 「1. 시·도교육청 부서」「2. 유관기관」「3. 교원단체」가 각각 문서로 분리
2023-hr-app-3-1,2023-hr-app-3-4-1,"「4. 편의지원 유형별 관련 기관, 시설 연락처」 아래 1) 인적지원"
2023-hr-app-3-2,2023-hr-app-3-4-2,2) 보조기기 지원 관련 기관
2023-hr-app-3-3,2023-hr-app-3-4-3,3) 편의시설 지원 관련 기관
2023-hr-app-3-4,2023-hr-app-3-4-4,4) 이동지원 관련 기관
2023-hr-app-3-5,2023-hr-app-3-4-5,5) 웹접근성 지원 관련 기관
2023-hr-2-2-4-1,2023-hr-2-2-4-3,(1) 휴직ㆍ복직 → (3) (최종본 번호). 새 2-2-4-1은 (1) 전직 임용 과정에서의 차별 금지
2023-hr-2-2-4-2,2023-hr-2-2-4-4,(2) 휴가ㆍ병가 사용 안내 → (4). (2) 특별연수는 100자 미만이라 2-2-4-3 안 소절
2023-research-1-3-1,(제외),9/7 결정 3: 연구 절차 서술 문서는 위키·챗봇 미게시
2023-research-1-3-2,(제외),9/7 결정 3: 연구 절차 서술 문서는 위키·챗봇 미게시
2023-research-app-2-x1,(제외),9/7 결정 3: 연구 절차 서술 문서는 위키·챗봇 미게시
2023-research-app-2-x2,(제외),9/7 결정 3: 연구 절차 서술 문서는 위키·챗봇 미게시
2023-research-app-2-x3,(제외),9/7 결정 3: 연구 절차 서술 문서는 위키·챗봇 미게시
2023-research-app-2-x4,(제외),9/7 결정 3: 연구 절차 서술 문서는 위키·챗봇 미게시
2023-research-app-3-x1,(제외),9/7 결정 3: 연구 절차 서술 문서는 위키·챗봇 미게시
2023-research-app-3-x2,(제외),9/7 결정 3: 연구 절차 서술 문서는 위키·챗봇 미게시
2023-research-app-3-x3,(제외),9/7 결정 3: 연구 절차 서술 문서는 위키·챗봇 미게시
2023-research-app-3-x4,(제외),9/7 결정 3: 연구 절차 서술 문서는 위키·챗봇 미게시
2023-research-4-3-1-1,(제외),9/7 결정 3: 연구 절차 서술 문서는 위키·챗봇 미게시
2023-research-4-3-1-2,(제외),9/7 결정 3: 연구 절차 서술 문서는 위키·챗봇 미게시
